Prompt,Response,Label
பிறப்பியல் நூற்பா 1 எழுதித் தரவும்.,"உந்தி முதலா முந்து வளி தோன்றி
தலையினும் மிடற்றினும் நெஞ்சினும் நிலைஇ
பல்லும் இதழும் நாவும் மூக்கும்
அண்ணமும் உளப்பட எண் முறை நிலையான்
உறுப்பு உற்று அமைய நெறிப்பட நாடி
எல்லா எழுத்தும் சொல்லும் காலை
பிறப்பின் ஆக்கம் வேறு வேறு இயல
திறப்படத் தெரியும் காட்சியான. ⁠1",
பிறப்பியல் நூற்பா 2 எழுதித் தரவும்.,"அவ் வழி,
பன்னீர் உயிரும் தம் நிலை திரியா
மிடற்றுப் பிறந்த வளியின் இசைக்கும். ⁠2",
பிறப்பியல் நூற்பா 3 எழுதித் தரவும்.,"அவற்றுள்,
அ ஆ ஆயிரண்டு அங்காந்து இயலும். ⁠3",
பிறப்பியல் நூற்பா 4 எழுதித் தரவும்.,"இ ஈ எ ஏ ஐ என இசைக்கும்
அப் பால் ஐந்தும் அவற்று ஓரன்ன
அவைதாம்,
அண்பல் முதல் நா விளிம்பு உறல் உடைய. ⁠4",
பிறப்பியல் நூற்பா 5 எழுதித் தரவும்.,"உ ஊ ஒ ஓ ஔ என இசைக்கும்
அப் பால் ஐந்தும் இதழ் குவிந்து இயலும். ⁠5",
பிறப்பியல் நூற்பா 6 எழுதித் தரவும்.,தம்தம் திரிபே சிறிய என்ப. ⁠6,
பிறப்பியல் நூற்பா 7 எழுதித் தரவும்.,ககார ஙகாரம் முதல் நா அண்ணம். ⁠7,
பிறப்பியல் நூற்பா 8 எழுதித் தரவும்.,சகார ஞகாரம் இடை நா அண்ணம். ⁠8,
பிறப்பியல் நூற்பா 9 எழுதித் தரவும்.,டகார ணகாரம் நுனி நா அண்ணம். ⁠9,
பிறப்பியல் நூற்பா 10 எழுதித் தரவும்.,அவ் ஆறு எழுத்தும் மூ வகைப் பிறப்பின. ⁠10,
பிறப்பியல் நூற்பா 11 எழுதித் தரவும்.,"அண்ணம் நண்ணிய பல் முதல் மருங்கில்
நா நுனி பரந்து மெய் உற ஒற்ற
தாம் இனிது பிறக்கும் தகார நகாரம். ⁠11",
பிறப்பியல் நூற்பா 12 எழுதித் தரவும்.,"அணரி நுனி நா அண்ணம் ஒற்ற
றஃகான் னஃகான் ஆயிரண்டும் பிறக்கும். ⁠12",
பிறப்பியல் நூற்பா 13 எழுதித் தரவும்.,"நுனி நா அணரி அண்ணம் வருட
ரகார ழகாரம் ஆயிரண்டும் பிறக்கும். ⁠13",
பிறப்பியல் நூற்பா 14 எழுதித் தரவும்.,"நா விளிம்பு வீங்கி அண்பல் முதல் உற
ஆவயின் அண்ணம் ஒற்றவும் வருடவும்
லகார ளகாரம் ஆயிரண்டும் பிறக்கும். ⁠14",
பிறப்பியல் நூற்பா 15 எழுதித் தரவும்.,இதழ் இயைந்து பிறக்கும் பகார மகாரம். ⁠15,
பிறப்பியல் நூற்பா 16 எழுதித் தரவும்.,பல் இதழ் இயைய வகாரம் பிறக்கும். ⁠16,
பிறப்பியல் நூற்பா 17 எழுதித் தரவும்.,"அண்ணம் சேர்ந்த மிடற்று எழு வளி இசை
கண்ணுற்று அடைய யகாரம் பிறக்கும். ⁠17",
பிறப்பியல் நூற்பா 18 எழுதித் தரவும்.,"மெல்லெழுத்து ஆறும் பிறப்பின் ஆக்கம்
சொல்லிய பள்ளி நிலையின ஆயினும்
மூக்கின் வளி இசை யாப்புறத் தோன்றும். ⁠18",
பிறப்பியல் நூற்பா 19 எழுதித் தரவும்.,"சார்ந்து வரின் அல்லது தமக்கு இயல்பு இல எனத்
தேர்ந்து வெளிப்படுத்த ஏனை மூன்றும்
தம்தம் சார்பின் பிறப்பொடு சிவணி
ஒத்த காட்சியின் தம் இயல்பு இயலும். ⁠19",
பிறப்பியல் நூற்பா 20 எழுதித் தரவும்.,"எல்லா எழுத்தும் வெளிப்படக் கிளந்து
சொல்லிய பள்ளி எழுதரு வளியின்
பிறப்பொடு விடுவழி உறழ்ச்சி வாரத்து
அகத்து எழு வளி இசை அரில் தப நாடி
அளபின் கோடல் அந்தணர் மறைத்தே. ⁠20",
பிறப்பியல் நூற்பா 21 எழுதித் தரவும்.,"அஃது இவண் நுவலாது எழுந்து புறத்து இசைக்கும்
மெய் தெரி வளி இசை அளபு நுவன்றிசினே. ⁠21",
பிறப்பியல் முதல் நூற்பா எழுதித் தரவும்.,"உந்தி முதலா முந்து வளி தோன்றி
தலையினும் மிடற்றினும் நெஞ்சினும் நிலைஇ
பல்லும் இதழும் நாவும் மூக்கும்
அண்ணமும் உளப்பட எண் முறை நிலையான்
உறுப்பு உற்று அமைய நெறிப்பட நாடி
எல்லா எழுத்தும் சொல்லும் காலை
பிறப்பின் ஆக்கம் வேறு வேறு இயல
திறப்படத் தெரியும் காட்சியான. ⁠1",
பிறப்பியல் இரண்டாம் நூற்பா எழுதித் தரவும்.,"அவ் வழி,
பன்னீர் உயிரும் தம் நிலை திரியா
மிடற்றுப் பிறந்த வளியின் இசைக்கும். ⁠2",
பிறப்பியல் மூன்றாம் நூற்பா எழுதித் தரவும்.,"அவற்றுள்,
அ ஆ ஆயிரண்டு அங்காந்து இயலும். ⁠3",
பிறப்பியல் நான்காம் நூற்பா எழுதித் தரவும்.,"இ ஈ எ ஏ ஐ என இசைக்கும்
அப் பால் ஐந்தும் அவற்று ஓரன்ன
அவைதாம்,
அண்பல் முதல் நா விளிம்பு உறல் உடைய. ⁠4",
பிறப்பியல் ஐந்தாம் நூற்பா எழுதித் தரவும்.,"உ ஊ ஒ ஓ ஔ என இசைக்கும்
அப் பால் ஐந்தும் இதழ் குவிந்து இயலும். ⁠5",
பிறப்பியல் ஆறாம் நூற்பா எழுதித் தரவும்.,தம்தம் திரிபே சிறிய என்ப. ⁠6,
பிறப்பியல் ஏழாம் நூற்பா எழுதித் தரவும்.,ககார ஙகாரம் முதல் நா அண்ணம். ⁠7,
பிறப்பியல் எட்டாம் நூற்பா எழுதித் தரவும்.,சகார ஞகாரம் இடை நா அண்ணம். ⁠8,
பிறப்பியல் ஒன்பதாம் நூற்பா எழுதித் தரவும்.,டகார ணகாரம் நுனி நா அண்ணம். ⁠9,
பிறப்பியல் பத்தாம் நூற்பா எழுதித் தரவும்.,அவ் ஆறு எழுத்தும் மூ வகைப் பிறப்பின. ⁠10,
பிறப்பியல் பதினொன்றாம் நூற்பா எழுதித் தரவும்.,"அண்ணம் நண்ணிய பல் முதல் மருங்கில்
நா நுனி பரந்து மெய் உற ஒற்ற
தாம் இனிது பிறக்கும் தகார நகாரம். ⁠11",
பிறப்பியல் பன்னிரண்டாம்  நூற்பா எழுதித் தரவும்.,"அணரி நுனி நா அண்ணம் ஒற்ற
றஃகான் னஃகான் ஆயிரண்டும் பிறக்கும். ⁠12",
பிறப்பியல் பதின்மூன்றாம் நூற்பா எழுதித் தரவும்.,"நுனி நா அணரி அண்ணம் வருட
ரகார ழகாரம் ஆயிரண்டும் பிறக்கும். ⁠13",
பிறப்பியல் பதினான்காம் நூற்பா எழுதித் தரவும்.,"நா விளிம்பு வீங்கி அண்பல் முதல் உற
ஆவயின் அண்ணம் ஒற்றவும் வருடவும்
லகார ளகாரம் ஆயிரண்டும் பிறக்கும். ⁠14",
பிறப்பியல் பதினைந்தாம் நூற்பா எழுதித் தரவும்.,இதழ் இயைந்து பிறக்கும் பகார மகாரம். ⁠15,
பிறப்பியல் பதினாறாம் நூற்பா எழுதித் தரவும்.,பல் இதழ் இயைய வகாரம் பிறக்கும். ⁠16,
பிறப்பியல் பதினேழாம் நூற்பா எழுதித் தரவும்.,"அண்ணம் சேர்ந்த மிடற்று எழு வளி இசை
கண்ணுற்று அடைய யகாரம் பிறக்கும். ⁠17",
பிறப்பியல் பதினெட்டாம் நூற்பா எழுதித் தரவும்.,"மெல்லெழுத்து ஆறும் பிறப்பின் ஆக்கம்
சொல்லிய பள்ளி நிலையின ஆயினும்
மூக்கின் வளி இசை யாப்புறத் தோன்றும். ⁠18",
பிறப்பியல் பத்தொன்பதாம் நூற்பா எழுதித் தரவும்.,"சார்ந்து வரின் அல்லது தமக்கு இயல்பு இல எனத்
தேர்ந்து வெளிப்படுத்த ஏனை மூன்றும்
தம்தம் சார்பின் பிறப்பொடு சிவணி
ஒத்த காட்சியின் தம் இயல்பு இயலும். ⁠19",
பிறப்பியல் இருபதாம் நூற்பா எழுதித் தரவும்.,"எல்லா எழுத்தும் வெளிப்படக் கிளந்து
சொல்லிய பள்ளி எழுதரு வளியின்
பிறப்பொடு விடுவழி உறழ்ச்சி வாரத்து
அகத்து எழு வளி இசை அரில் தப நாடி
அளபின் கோடல் அந்தணர் மறைத்தே. ⁠20",
பிறப்பியல் இருபத்தொன்றாம் நூற்பா எழுதித் தரவும்.,"அஃது இவண் நுவலாது எழுந்து புறத்து இசைக்கும்
மெய் தெரி வளி இசை அளபு நுவன்றிசினே. ⁠21",
பிறப்பியல் விளக்கம் தருக.,"தொல்காப்பியம் எழுத்து, சொல், பொருள் என்ற மூன்று அதிகாரங்கள் கொண்டது. அவற்றில் முதலாவதான எழுத்ததிகாரத்தில் மூன்றாவது இயல் 'பிறப்பியல்'. அந்த இயலில் 20 நூற்பாக்கள் இடம்பெற்றுள்ளன. இந்த இயலே இவ்வதிகாரத்தில் மிகக்குறைந்த நூற்பாக்களைக் கொண்ட இயல் ஆகும்.

தொல்காப்பியர் கணக்கில் தமிழ் எழுத்துகள் 33. அவை எவ்வாறு பிறந்து ஒலிக்கும் என்று இங்கு கூறப்படுகிறது.",
பிறக்கும் நிலைகள் பற்றி எழுதுக.,"வளி என்பது உலகைச் சூழ்ந்துள்ள காற்று. நாம் பேசும்போது வளி உந்தியிலிருந்து தோன்றும்.

(உந்தி என்பது காற்றை உந்தும் diaphragm. உந்தி உறுப்பானது அடிவயிற்றுக்கும் மூச்சுப்பைக்கும் இடையில் உள்ளது)
உந்தியில் தோன்றும் வளி தலையிலும், மிடற்றிலும், நிலைகொள்ளும்.

மிடறு என்பது தொண்டையில் உணவுக்குழாயையும், காற்றுக்குழாயையும் மிடைந்துவைக்கும், அதாவது மடைமாற்றும் pharynx.
அங்கிருந்து பாய்ந்து பல், இதழ், நாக்கு, மூக்கு, அண்ணம் ஆகியவற்றில் ஒலியைத் தோற்றுவிக்கும்.
ஆக நிலைகொண்டு பாயும் ஒலியுறுப்புகள் 8.
இந்த எழுத்துச்செல்வத்தைத் திறப்படக் காணின் அவற்றின் வெவ்வேறு தன்மை புலப்படும்.",
மிடற்று வளியில் பிறக்கும் எழுத்துக்கள் எவை,12 உயிரெழுத்துகளும் மிடற்று வளியில் இசைக்கும். ,
அங்காந்து பிறக்கும் எழுத்துக்கள் எவை,"அ, ஆ வாய் அங்காந்து பிறக்கும்.",
நா விளிம்பு தொடப் பிறக்கும் எழுத்துக்கள் எவை,"இ, ஈ, எ, ஏ, ஐ ஆகியவை அங்காப்புடன் அண்பல் முதலை நாவிளிம்பு தொடப் பிறக்கும்.",
இதழ் குவியப் பிறக்கும் எழுத்துக்கள் எவை,"உ, ஊ, ஒ, ஓ, ஔ ஆகியவை அங்காப்புடன் இதழ் குவியப் பிறக்கும்.",
