Prompt,Response,Label
புணரியல் நூற்பா 1 எழுதித் தரவும்.,"மூன்று தலை இட்ட முப்பதிற்று எழுத்தின்
இரண்டு தலை இட்ட முதல் ஆகு இருபஃது
அறு நான்கு ஈறொடு நெறி நின்று இயலும்
எல்லா மொழிக்கும் இறுதியும் முதலும்
மெய்யே உயிர் என்று ஆயீர் இயல. 1",
புணரியல் நூற்பா 2 எழுதித் தரவும்.,"அவற்றுள்,
மெய் ஈறு எல்லாம் புள்ளியொடு-நிலையல். 2",
புணரியல் நூற்பா 3 எழுதித் தரவும்.,குற்றியலுகரமும் அற்று என மொழிப. 3,
புணரியல் நூற்பா 4 எழுதித் தரவும்.,உயிர்மெய் ஈறும் உயிர் ஈற்று இயற்றே. 4,
புணரியல் நூற்பா 5 எழுதித் தரவும்.,"உயிர் இறு சொல் முன் உயிர் வரு வழியும்
உயிர் இறு சொல் முன் மெய் வரு வழியும்
மெய் இறு சொல் முன் உயிர் வரு வழியும்
மெய் இறு சொல் முன் மெய் வரு வழியும் என்று
இவ் என அறியக் கிளக்கும் காலை
நிறுத்த சொல்லே குறித்து வரு கிளவி என்று
ஆயீர் இயல புணர் நிலைச் சுட்டே. 5",
புணரியல் நூற்பா 6 எழுதித் தரவும்.,"அவற்றுள்,
நிறுத்த சொல்லின் ஈறு ஆகு எழுத்தொடு
குறித்து வரு கிளவி முதல் எழுத்து இயைய
பெயரொடு பெயரைப் புணர்க்குங் காலும்
பெயரொடு தொழிலைப் புணர்க்குங் காலும்
தொழிலொடு பெயரைப் புணர்க்குங் காலும்
தொழிலொடு தொழிலைப் புணர்க்குங் காலும்
மூன்றே திரிபு இடன் ஒன்றே இயல்பு என
ஆங்கு அந் நான்கே மொழி புணர் இயல்பே. 6",
புணரியல் நூற்பா 7 எழுதித் தரவும்.,"அவைதாம்,
மெய் பிறிது ஆதல் மிகுதல் குன்றல் என்று
இவ் என மொழிப திரியும் ஆறே. 7",
புணரியல் நூற்பா 8 எழுதித் தரவும்.,"நிறுத்த சொல்லும் குறித்து வரு கிளவியும்
அடையொடு தோன்றினும் புணர் நிலைக்கு உரிய. 8",
புணரியல் நூற்பா 9 எழுதித் தரவும்.,"மருவின் தொகுதி மயங்கியல் மொழியும்
உரியவை உளவே புணர் நிலைச் சுட்டே. 9
",
புணரியல் நூற்பா 10 எழுதித் தரவும்.,"வேற்றுமை குறித்த புணர்மொழி நிலையும்
வேற்றுமை அல்வழிப் புணர்மொழி நிலையும்
எழுத்தே சாரியை ஆயிரு பண்பின்
ஒழுக்கல் வலிய புணரும் காலை. 10
",
புணரியல் நூற்பா 11 எழுதித் தரவும்.,"ஐ ஒடு கு இன் அது கண் என்னும்
அவ் ஆறு என்ப வேற்றுமை உருபே. 11
",
புணரியல் நூற்பா 12 எழுதித் தரவும்.,"வல்லெழுத்து முதலிய வேற்றுமை உருபிற்கு
ஒல்வழி ஒற்று இடை மிகுதல் வேண்டும். 12
",
புணரியல் நூற்பா 13 எழுதித் தரவும்.,"ஆறன் உருபின் அகரக் கிளவி
ஈறு ஆகு அகர முனைக் கெடுதல் வேண்டும். 13
",
புணரியல் நூற்பா 14 எழுதித் தரவும்.,"வேற்றுமை வழிய பெயர் புணர் நிலையே. 14
உயர்திணைப் பெயரே அஃறிணைப் பெயர் என்று
",
புணரியல் நூற்பா 15 எழுதித் தரவும்.,ஆயிரண்டு என்ப பெயர் நிலைச் சுட்டே. 15,
புணரியல் நூற்பா 16 எழுதித் தரவும்.,அவற்று வழி மருங்கின் சாரியை வருமே. 16,
புணரியல் நூற்பா 17 எழுதித் தரவும்.,"அவைதாம்,
இன்னே வற்றே அத்தே அம்மே
ஒன்னே ஆனே அக்கே இக்கே
அன் என் கிளவி உளப்பட பிறவும்
அன்ன என்ப சாரியை மொழியே. 17
",
புணரியல் நூற்பா 18 எழுதித் தரவும்.,"அவற்றுள்,
இன்னின் இகரம் ஆவின் இறுதி
முன்னர்க் கெடுதல் உரித்தும் ஆகும். 18
",
புணரியல் நூற்பா 19 எழுதித் தரவும்.,"அளபு ஆகு மொழி முதல் நிலைஇய உயிர்மிசை
னஃகான் றஃகான் ஆகிய நிலைத்தே. 19
",
புணரியல் நூற்பா 20 எழுதித் தரவும்.,"வஃகான் மெய் கெட சுட்டு முதல் ஐம் முன்
அஃகான் நிற்றல் ஆகிய பண்பே. 20
",
